Tissue,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver
Mouse,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
Time,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240
G3P,8.39611810413552,6.71344088524183,6.39273248599108,8.5852798399727,7.41389330607249,6.78991050882868,6.86147846542695,6.19738695346813,4.85411811377315,7.72160832493952,6.22197433436516,8.29187808295571,7.60019113901872,8.9199172799498,8.17778439333802,8.19676813246753,6.80711842034975,10.6870617712392,9.93856173456387,10.0525887259511,6.95098426854469,7.45565878279286,9.98698223796486,7.62925095297466,6.64434740680173,7.60920131512251,9.11023994101998,7.53365177893399,7.09957733683769,6.45845659129814,8.12509812118349,10.0391844314595,10.175419558818,10.0461085215088,11.5021050260276,8.5323640140773,9.07131562518877,10.8131568661336,10.9342366012972,9.6796449149382,6.46854966421205,11.4621042665312,6.63653188457821,5.08687599226228,10.8638287240143,5.06877126266656,7.72545702172979
G1P,0.102071774494001,0.0683279951531037,0.0583883082735434,0.136009421552712,0.0639773424258639,0.0379219632383173,0.0352748761104442,0.0938676011159054,0.100352146148364,0.190367344904099,0.0706540468756628,0.239156653279746,0.244240502401128,0.24669938279071,0.20284034703511,0.245501544901647,0.202788376051383,0.12513289469877,0.110750369429661,0.09419493265954,0.171838375415093,0.165378672043969,0.140895870209866,0.194999988825975,0.220550354655023,0.254951746430887,0.268333094461685,0.184428262756684,0.224444462777739,0.246774840380159,0.219504882771201,0.352510871215643,0.213714111657611,0.385559725938617,0.398479310988381,0.203002461231511,0.504403892186428,0.407710060871613,0.322364118405199,0.304931801390951,0.260879717749982,0.345554350595583,0.308971850006275,0.307376364371472,0.500834235219341,0.245935779415127,0.198163796344881
Lactate,66.6525240136891,68.0241119764253,66.409915066983,71.1252423230358,86.9447583457081,87.0273130099623,62.489837655791,83.3319132597742,68.2536127457152,71.0834431905323,73.0746683182362,77.1030683391118,73.9398170115251,90.9790004161284,81.342429476066,76.6037437779597,80.4047119132553,128.156175109328,114.228614133633,128.260797053639,57.076318469624,79.7025172236945,104.440854879369,20.8731980315055,18.8076754158601,16.3173171321854,30.2874099726474,21.9989194155563,24.7467845263355,13.160417098809,19.4157753521656,18.7375638412464,17.9773216156317,19.5839368222447,17.8187788725624,24.2766871174643,11.6108141873656,28.0954256932516,24.7294086019164,39.7148090466255,10.5382836048447,37.5949343996569,12.4510061951669,4.73702348636476,25.5450343090596,9.57432598560978,17.0484151391278
Ala,4.62033090875776,5.41200182883203,3.06540338746404,4.19380840941579,5.28321002492019,4.51906876321201,3.60508742666929,3.56279256146287,3.73400820856627,5.17432288008662,4.55585564167525,5.83410897535403,5.91885221091058,8.20152513931772,6.50572630515014,6.80249538691059,4.79715596722232,6.62241933919792,6.30863318811064,6.26161487241244,3.81236550291798,4.97915104612756,5.54701610391001,9.97485178471218,7.15551566493481,6.25872004298331,11.0655307571912,9.26115094309072,9.17694307350984,7.42112847632265,6.57289075989862,6.78856384688341,6.40672684615917,7.63022243479617,6.98849045410966,14.1671214641652,5.18018630294283,9.79092411368638,11.9848687420252,14.7102005396187,3.96442716265482,11.6234555293691,6.98020190660305,2.46657276117103,9.83657271885784,4.01956250826356,6.41778894955833
Glu,6.73501288907227,7.46441796254417,5.96860684791263,8.43215112787032,4.9728365950831,5.95391655947138,4.6212318696702,4.5980349614741,4.15530398376516,7.74740556784034,3.99830057629221,5.31851988195005,5.66468289184606,8.9376974552056,6.09276974188405,6.1512051186567,4.39082461750516,3.05486258907008,2.67019496189494,3.0723894744123,5.01825076148901,5.12807493733703,3.6020342902119,7.27167084928835,6.90684121894319,5.82742889006494,6.37478174746054,4.88653936754336,5.88908140971871,9.81216016225249,5.48631113231719,7.94319750977877,5.62160007986805,9.14113415418526,6.24267931098904,5.26352218070913,6.49144498200522,3.66358732267436,7.98649392865504,5.2494527249574,4.18852467764979,3.93287773764813,7.8637414051212,6.33107644141325,5.31927626765709,4.04044019670241,5.98822238961832
Asp,1.07791653012585,1.9981360622062,1.24840546895864,1.25227868364211,1.51808889379673,1.45182629885035,1.28541009522821,1.92055550231966,1.63812569154442,1.5923418155095,1.99277150706599,1.83020893233251,1.98491489370133,2.08133186646136,1.89917508825889,2.0641320162955,1.872157941257,1.60305172999023,1.45987180719571,1.25291428565222,1.56927587926651,1.84341493441734,1.43280834201544,2.0924219344627,1.74113851007622,1.62985307013008,2.09813727457229,1.72475753521938,1.68980447036439,1.84182035763666,1.63145215970581,2.28261074556829,1.56980441942656,2.41090590925012,1.30464040475365,2.15145485949182,1.47862592406455,1.36174592186648,1.64672913505758,2.38793343963942,1.38656862394965,1.73115061246835,2.0191459176965,1.07980101883368,1.65510559313435,0.970535855446009,1.74439869909585
Citrate,0.222939815698361,0.229356334943426,0.224314288886613,0.222364424440259,0.312094223744931,0.233543943260362,0.184920960917718,0.243941927450966,0.148793629428368,0.287775674292232,0.282193427321688,0.231587516764852,0.233284530466566,0.169372232023293,0.21296424538165,0.191248604927173,0.341891031685616,0.283390166841714,0.314046053399654,0.200170384709721,0.152949922567673,0.254654694305787,0.187514358708692,0.695703157246781,0.805410391773481,0.747560088843953,0.472564215665475,0.32783386843462,0.588570103993909,0.984468324944421,0.491035644163443,0.465713192164601,0.427707371758948,0.969369459030504,0.501009240041852,0.734175873513465,0.871090335450935,0.533154196778201,0.721830338360282,1.08180682059779,0.633867036422433,0.67694519855167,0.937180760943011,0.361802259739805,0.678684325407397,0.407211201964739,1.18413922133422
Succinate,2.32937181390563,2.55397583123849,1.61966522424728,2.27463834406265,2.28872535190168,2.33849740527697,2.26392653107163,2.28196276774914,2.25462880486415,2.08435935847812,1.8521944517813,1.92479139485492,1.74917396500564,2.43022843046703,2.16575479667768,2.00503369616653,1.33286281242031,1.96396479405915,2.35565712391504,2.17685488431207,1.24567893756309,1.51973524848234,1.85012522432783,4.79144715745667,3.76473214213767,3.6545758092234,4.0940835860221,3.46736787046177,3.87759534948163,3.23736858971396,3.62769607576693,3.40939468217361,3.95611117758067,3.69183005871785,4.77510325584554,3.73550594978537,3.02984800986839,3.99957444612356,4.59562803384186,4.64260885420934,2.19034426487952,5.59082389766003,3.80657008191464,2.46430112746289,5.6791076429759,2.89325429562469,4.44151345571602
Fumarate,0.216927227040574,0.252885544349388,0.156238768854356,0.148273746215868,0.258945929721315,0.252603454803403,0.30256472686041,0.299670255509377,0.221792270684796,0.248954456444415,0.349576099882189,0.348741574496848,0.360802439536717,0.356997274099779,0.373808011697509,0.358589098919422,0.348045438181787,0.43780702212994,0.333900122063751,0.250342532773275,0.285670674256233,0.425960288555688,0.393948174585319,0.323438308035168,0.365648903413959,0.286075218221144,0.296691106111607,0.178106525400376,0.343028335460279,0.292189788006055,0.372713072182669,0.487635442243317,0.280746720063737,0.419715549387821,0.244584923856737,0.642662054116715,0.491548338392901,0.435775556852139,0.464200259783607,0.757886812195147,0.427624779689049,0.611586756997217,0.454814363557658,0.185864648187973,0.499115404402767,0.216608848284219,0.598488070059097
Malate,0.773733349596007,1.33591925749533,0.673758278958971,0.635534269435989,1.03056841789178,0.903081997026149,1.16086518696263,1.13702138257055,1.05884716522082,0.891844941229981,1.40852430586382,1.4506226707585,1.41765672485265,1.45114756501133,1.43801238290529,1.36256484871762,1.51410531404456,1.66450612578641,1.79170695896885,1.06369014070367,1.17518459527909,1.7415746473794,1.497390460739,1.11487163869535,1.26650791385667,1.0725248593579,1.46879287627839,0.929344407598327,1.68095257043709,1.0805319663679,1.31872106141188,2.1517903782894,1.02031989706071,1.59860907829274,1.00880892683194,2.33665734377726,1.58919965400807,1.57244541055104,1.64772584903268,3.11615653147959,1.50466872965696,2.31233105569063,1.49702158997909,0.704806409900804,2.16390799887864,1.04191069566288,2.46163095707067
